                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.8255,                0.40824,                 1.0975,                 0.8212,                  0.998,                0.84169,                0.68013,                0.84316,                0.62999,                 1.1395,               0.007624,               0.007624,               0.007624
                     75,                0.83072,                0.41019,                 1.1048,                0.82725,                 0.9984,                0.85396,                0.69413,                0.83791,                0.62488,                 1.1433,               0.007591,               0.007591,               0.007591
                     76,                0.83011,                0.40821,                 1.1026,                0.82469,                  0.998,                0.83586,                0.67299,                0.85491,                 0.6052,                  1.154,               0.007558,               0.007558,               0.007558
                     77,                0.82584,                0.40169,                 1.1018,                0.82523,                  0.998,                0.84425,                0.67903,                0.84604,                0.64317,                  1.144,               0.007525,               0.007525,               0.007525
                     78,                0.82959,                0.40131,                 1.0973,                0.82693,                  0.998,                0.83872,                0.68008,                0.83605,                0.65296,                 1.1365,               0.007492,               0.007492,               0.007492
                     79,                0.81037,                0.39782,                 1.0957,                 0.8237,                  0.998,                0.83931,                0.68196,                0.84487,                0.66745,                 1.1489,               0.007459,               0.007459,               0.007459
                     80,                0.81925,                0.39964,                 1.1013,                0.82575,                 0.9982,                0.83726,                0.67661,                0.84178,                 0.6634,                 1.1518,               0.007426,               0.007426,               0.007426
                     81,                 0.8188,                0.39694,                 1.0994,                0.82161,                  0.998,                0.84618,                0.68685,                0.84169,                0.66305,                 1.1505,               0.007393,               0.007393,               0.007393
                     82,                0.82112,                 0.3968,                  1.104,                0.82671,                  0.998,                0.84933,                0.69002,                0.84269,                0.63891,                 1.1462,                0.00736,                0.00736,                0.00736
                     83,                0.82253,                0.39747,                 1.0939,                0.82466,                  0.998,                0.84317,                0.67919,                0.84847,                0.64184,                 1.1531,               0.007327,               0.007327,               0.007327
                     84,                0.80814,                0.39057,                 1.1002,                0.82494,                 0.9792,                 0.8471,                0.68828,                0.84163,                0.63628,                 1.1547,               0.007294,               0.007294,               0.007294
